id,prov_id,provenance_url
244,dc_import_244,https://github.com/owid/covid-19-data/tree/master/public/data/vaccinations
245,dc_import_245,https://data.one.org/data-dives/
246,dc_import_246,https://www.ncdc.noaa.gov/ibtracs/index.php?name=ib-v4-access
247,dc_import_247,https://sidra.ibge.gov.br/home/pnadct
248,dc_import_248,https://kosis.kr/eng/statisticsList/statisticsListIndex.do
249,dc_import_249,https://www.census.gov/retail/index.html
250,dc_import_250,https://kosis.kr/eng/statisticsList/statisticsListIndex.do
251,dc_import_251,https://github.com/dsfsi/data-commons-data/tree/master/data/budget%20data/csv/
252,dc_import_252,https://kosis.kr/eng/statisticsList/statisticsListIndex.do
253,dc_import_253,https://data-explorer.oecd.org/vis?fs[0]=Topic%2C0%7CRegional%252C%20rural%20and%20urban%20development%23GEO%23&pg=40&fc=Topic&bp=true&snb=117&df[ds]=dsDisseminateFinalDMZ&df[id]=DSD_REG_DEMO%40DF_POP_5Y&df[ag]=OECD.CFE.EDS&df[vs]=2.0&dq=A.......&to[TIME_PERIOD]=false&vw=tb&pd=%2C
254,dc_import_254,
255,dc_import_255,https://www.indec.gob.ar
256,dc_import_256,https://unstats.un.org/unsd/energystats/data/
257,dc_import_257,https://en.www.inegi.org.mx/temas/
258,dc_import_258,https://coastwatch.noaa.gov/cwn/index.html
259,dc_import_259,https://data.stadt-zuerich.ch/
260,dc_import_260,https://aplicacoes.cidadania.gov.br/vis/data3/data-explorer.php
261,dc_import_261,https://www.gso.gov.vn/en/px-web/?pxid=E0201&theme=Population%20and%20Employment
